629,643,139,1070
630,642,159,1068
631,633,1618,6262
632,643,2,643
633,643,15,690
634,637,398,2249
635,637,105,932
636,645,337,1951
637,641,8,666
638,641,763,3331
639,641,60,890
640,650,1595,6195
641,637,793,3861
642,641,138,1071
643,642,133,1117
644,645,403,2216
645,645,153,1412
646,640,121,1069
647,650,132,1147
648,650,5,650
649,643,58,828
650,649,115,1102
651,647,651,3045
652,637,125,955
653,654,94,1107
654,646,27,695
655,640,33,756
656,639,491,2008
657,653,5,655
658,650,689,3520
659,639,242,1380
660,645,571,2955
661,652,2,652
662,634,1110,4286
663,641,48,823
664,651,427,1998
665,646,190,1286
666,639,22,733
667,645,609,3067
668,648,424,2130
669,648,206,1278
670,651,79,971
671,643,103,894
